well_id,latitude,longitude,maaiveld_nap,filter_1_gemiddeld,filter_2_gemiddeld,filter_3_gemiddeld,filter_4_gemiddeld,filter_5_gemiddeld,filter_1_trend_15_jaar,filter_2_trend_15_jaar,filter_3_trend_15_jaar,filter_4_trend_15_jaar,filter_5_trend_15_jaar,filter_1_trend_25_jaar,filter_2_trend_25_jaar,filter_3_trend_25_jaar,filter_4_trend_25_jaar,filter_5_trend_25_jaar
B07D0320,53.19449564706772,6.55355517208449,-0.326,-1.5992,0.875,0.207,-0.9925,0.429,0.179,,,,,,,,,
B07D0343,53.16117028531687,6.649697814911935,0.546,-0.6764,0.154,,-1.1398,1.545,,,,,,,,,,
B07D0344,53.16194084857254,6.657570445750076,0.65,,,,,,,,,,,,,,,
B08C0072,53.180433835953686,6.975823974032229,-0.85,-2.0057,-0.4,0.125,-1.5607,-0.364,0.333,,,,,,,,,
B08C0153,53.1763352876096,7.042942867056352,-1.92,,,,,,,,,,,,,,,
B08C0156,53.17556398692588,7.040220819730054,-1.39,,,,,,,,,,,,,,,
B08C0158,53.17530893288434,7.039163986104315,-1.22,,,,,,,,,,,,,,,
B08C0159,53.17530893288434,7.039163986104315,-1.61,,,,,,,,,,,,,,,
B08C0162,53.174056581175165,7.0452489815926596,-2.15,,,,,,,,,,,,,,,
B08C0169,53.172303436278106,7.042040763596903,-1.2,,,,,,,,,,,,,,,
B08C0170,53.172305499683425,7.041891268181096,-1.07,,,,,,,,,,,,,,,
B08D0069,53.16393792369132,7.192016747960167,0,,,,,,,,,,,,,,,
B08D0030,53.20949606647248,7.187840112664795,0.567,-1.4311,-0.2,0,-1.4273,-0.2,0.056,,,,,,,,,
B08D0040,53.221461764650336,7.158029424758108,0.675,-1.1984,-0.404,0.08,,,,,,,,,,,,
B09B0085,53.10893150580674,4.77607778358186,1.92,,,,,,,,,,,,,,,
B09B0087,53.10534683300094,4.777994757663305,2.08,,,,,,,,,,,,,,,
B05G0140,53.21789248437776,5.543363852470556,0.19,-0.6256,0.364,0.425,,,,,,,,,,,,
B05H0167,53.26262897428212,5.635374679640645,1.24,,,,,,,,,,,,,,,
B05H0186,53.235500643840005,5.739905154051174,0.46,,,,,,,,,,,,,,,
B05H0221,53.18393417734892,5.7037332132321055,0.4,,,,,,,,,,,,,,,
B06C0329,53.25761279312752,5.855839854110578,-0.45,-1.0365,,,,,,,,,,,,,,
B06C0334,53.22923011777244,5.888490999519525,-0.96,-1.0373,,,,,,,,,,,,,,
B06C0335,53.228871785117214,5.8925149725401,-0.77,-0.9541,,,,,,,,,,,,,,
